Arquivo,Origem,Destino,Obrigatório,Tipo,Preservar no Update?,Preservar no Uninstall?,Observação
System.Runtime.Numerics.dll,publish/win-x64/System.Runtime.Numerics.dll,{app}/System.Runtime.Numerics.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Runtime.Serialization.Formatters.dll,publish/win-x64/System.Runtime.Serialization.Formatters.dll,{app}/System.Runtime.Serialization.Formatters.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Runtime.Serialization.Json.dll,publish/win-x64/System.Runtime.Serialization.Json.dll,{app}/System.Runtime.Serialization.Json.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Runtime.Serialization.Primitives.dll,publish/win-x64/System.Runtime.Serialization.Primitives.dll,{app}/System.Runtime.Serialization.Primitives.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Runtime.Serialization.Xml.dll,publish/win-x64/System.Runtime.Serialization.Xml.dll,{app}/System.Runtime.Serialization.Xml.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Runtime.Serialization.dll,publish/win-x64/System.Runtime.Serialization.dll,{app}/System.Runtime.Serialization.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Runtime.dll,publish/win-x64/System.Runtime.dll,{app}/System.Runtime.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Security.AccessControl.dll,publish/win-x64/System.Security.AccessControl.dll,{app}/System.Security.AccessControl.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Security.Claims.dll,publish/win-x64/System.Security.Claims.dll,{app}/System.Security.Claims.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Security.Cryptography.Algorithms.dll,publish/win-x64/System.Security.Cryptography.Algorithms.dll,{app}/System.Security.Cryptography.Algorithms.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Security.Cryptography.Cng.dll,publish/win-x64/System.Security.Cryptography.Cng.dll,{app}/System.Security.Cryptography.Cng.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Security.Cryptography.Csp.dll,publish/win-x64/System.Security.Cryptography.Csp.dll,{app}/System.Security.Cryptography.Csp.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Security.Cryptography.Encoding.dll,publish/win-x64/System.Security.Cryptography.Encoding.dll,{app}/System.Security.Cryptography.Encoding.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Security.Cryptography.OpenSsl.dll,publish/win-x64/System.Security.Cryptography.OpenSsl.dll,{app}/System.Security.Cryptography.OpenSsl.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Security.Cryptography.Pkcs.dll,publish/win-x64/System.Security.Cryptography.Pkcs.dll,{app}/System.Security.Cryptography.Pkcs.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Security.Cryptography.Primitives.dll,publish/win-x64/System.Security.Cryptography.Primitives.dll,{app}/System.Security.Cryptography.Primitives.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Security.Cryptography.ProtectedData.dll,publish/win-x64/System.Security.Cryptography.ProtectedData.dll,{app}/System.Security.Cryptography.ProtectedData.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Security.Cryptography.X509Certificates.dll,publish/win-x64/System.Security.Cryptography.X509Certificates.dll,{app}/System.Security.Cryptography.X509Certificates.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Security.Cryptography.Xml.dll,publish/win-x64/System.Security.Cryptography.Xml.dll,{app}/System.Security.Cryptography.Xml.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Security.Cryptography.dll,publish/win-x64/System.Security.Cryptography.dll,{app}/System.Security.Cryptography.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Security.Permissions.dll,publish/win-x64/System.Security.Permissions.dll,{app}/System.Security.Permissions.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Security.Principal.Windows.dll,publish/win-x64/System.Security.Principal.Windows.dll,{app}/System.Security.Principal.Windows.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Security.Principal.dll,publish/win-x64/System.Security.Principal.dll,{app}/System.Security.Principal.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Security.SecureString.dll,publish/win-x64/System.Security.SecureString.dll,{app}/System.Security.SecureString.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Security.dll,publish/win-x64/System.Security.dll,{app}/System.Security.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.ServiceModel.Web.dll,publish/win-x64/System.ServiceModel.Web.dll,{app}/System.ServiceModel.Web.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.ServiceProcess.dll,publish/win-x64/System.ServiceProcess.dll,{app}/System.ServiceProcess.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Text.Encoding.CodePages.dll,publish/win-x64/System.Text.Encoding.CodePages.dll,{app}/System.Text.Encoding.CodePages.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Text.Encoding.Extensions.dll,publish/win-x64/System.Text.Encoding.Extensions.dll,{app}/System.Text.Encoding.Extensions.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Text.Encoding.dll,publish/win-x64/System.Text.Encoding.dll,{app}/System.Text.Encoding.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Text.Encodings.Web.dll,publish/win-x64/System.Text.Encodings.Web.dll,{app}/System.Text.Encodings.Web.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Text.Json.dll,publish/win-x64/System.Text.Json.dll,{app}/System.Text.Json.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Text.RegularExpressions.dll,publish/win-x64/System.Text.RegularExpressions.dll,{app}/System.Text.RegularExpressions.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Threading.AccessControl.dll,publish/win-x64/System.Threading.AccessControl.dll,{app}/System.Threading.AccessControl.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Threading.Channels.dll,publish/win-x64/System.Threading.Channels.dll,{app}/System.Threading.Channels.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Threading.Overlapped.dll,publish/win-x64/System.Threading.Overlapped.dll,{app}/System.Threading.Overlapped.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Threading.Tasks.Dataflow.dll,publish/win-x64/System.Threading.Tasks.Dataflow.dll,{app}/System.Threading.Tasks.Dataflow.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Threading.Tasks.Extensions.dll,publish/win-x64/System.Threading.Tasks.Extensions.dll,{app}/System.Threading.Tasks.Extensions.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Threading.Tasks.Parallel.dll,publish/win-x64/System.Threading.Tasks.Parallel.dll,{app}/System.Threading.Tasks.Parallel.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Threading.Tasks.dll,publish/win-x64/System.Threading.Tasks.dll,{app}/System.Threading.Tasks.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Threading.Thread.dll,publish/win-x64/System.Threading.Thread.dll,{app}/System.Threading.Thread.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Threading.ThreadPool.dll,publish/win-x64/System.Threading.ThreadPool.dll,{app}/System.Threading.ThreadPool.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Threading.Timer.dll,publish/win-x64/System.Threading.Timer.dll,{app}/System.Threading.Timer.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Threading.dll,publish/win-x64/System.Threading.dll,{app}/System.Threading.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Transactions.Local.dll,publish/win-x64/System.Transactions.Local.dll,{app}/System.Transactions.Local.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Transactions.dll,publish/win-x64/System.Transactions.dll,{app}/System.Transactions.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.ValueTuple.dll,publish/win-x64/System.ValueTuple.dll,{app}/System.ValueTuple.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Web.HttpUtility.dll,publish/win-x64/System.Web.HttpUtility.dll,{app}/System.Web.HttpUtility.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Web.dll,publish/win-x64/System.Web.dll,{app}/System.Web.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Windows.Controls.Ribbon.dll,publish/win-x64/System.Windows.Controls.Ribbon.dll,{app}/System.Windows.Controls.Ribbon.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Windows.Extensions.dll,publish/win-x64/System.Windows.Extensions.dll,{app}/System.Windows.Extensions.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Windows.Input.Manipulations.dll,publish/win-x64/System.Windows.Input.Manipulations.dll,{app}/System.Windows.Input.Manipulations.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Windows.Presentation.dll,publish/win-x64/System.Windows.Presentation.dll,{app}/System.Windows.Presentation.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Windows.Primitives.dll,publish/win-x64/System.Windows.Primitives.dll,{app}/System.Windows.Primitives.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Windows.dll,publish/win-x64/System.Windows.dll,{app}/System.Windows.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Xaml.dll,publish/win-x64/System.Xaml.dll,{app}/System.Xaml.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Xml.Linq.dll,publish/win-x64/System.Xml.Linq.dll,{app}/System.Xml.Linq.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Xml.ReaderWriter.dll,publish/win-x64/System.Xml.ReaderWriter.dll,{app}/System.Xml.ReaderWriter.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Xml.Serialization.dll,publish/win-x64/System.Xml.Serialization.dll,{app}/System.Xml.Serialization.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Xml.XDocument.dll,publish/win-x64/System.Xml.XDocument.dll,{app}/System.Xml.XDocument.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Xml.XPath.XDocument.dll,publish/win-x64/System.Xml.XPath.XDocument.dll,{app}/System.Xml.XPath.XDocument.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Xml.XPath.dll,publish/win-x64/System.Xml.XPath.dll,{app}/System.Xml.XPath.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Xml.XmlDocument.dll,publish/win-x64/System.Xml.XmlDocument.dll,{app}/System.Xml.XmlDocument.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Xml.XmlSerializer.dll,publish/win-x64/System.Xml.XmlSerializer.dll,{app}/System.Xml.XmlSerializer.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Xml.dll,publish/win-x64/System.Xml.dll,{app}/System.Xml.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.dll,publish/win-x64/System.dll,{app}/System.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
UIAutomationClient.dll,publish/win-x64/UIAutomationClient.dll,{app}/UIAutomationClient.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
UIAutomationClientSideProviders.dll,publish/win-x64/UIAutomationClientSideProviders.dll,{app}/UIAutomationClientSideProviders.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
UIAutomationProvider.dll,publish/win-x64/UIAutomationProvider.dll,{app}/UIAutomationProvider.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
UIAutomationTypes.dll,publish/win-x64/UIAutomationTypes.dll,{app}/UIAutomationTypes.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
UglyToad.PdfPig.Core.dll,publish/win-x64/UglyToad.PdfPig.Core.dll,{app}/UglyToad.PdfPig.Core.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
UglyToad.PdfPig.DocumentLayoutAnalysis.dll,publish/win-x64/UglyToad.PdfPig.DocumentLayoutAnalysis.dll,{app}/UglyToad.PdfPig.DocumentLayoutAnalysis.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
UglyToad.PdfPig.Filters.Dct.JpegLibrary.dll,publish/win-x64/UglyToad.PdfPig.Filters.Dct.JpegLibrary.dll,{app}/UglyToad.PdfPig.Filters.Dct.JpegLibrary.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
UglyToad.PdfPig.Filters.Jbig2.PdfboxJbig2.dll,publish/win-x64/UglyToad.PdfPig.Filters.Jbig2.PdfboxJbig2.dll,{app}/UglyToad.PdfPig.Filters.Jbig2.PdfboxJbig2.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
UglyToad.PdfPig.Filters.Jpx.OpenJpeg.dll,publish/win-x64/UglyToad.PdfPig.Filters.Jpx.OpenJpeg.dll,{app}/UglyToad.PdfPig.Filters.Jpx.OpenJpeg.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
UglyToad.PdfPig.Fonts.dll,publish/win-x64/UglyToad.PdfPig.Fonts.dll,{app}/UglyToad.PdfPig.Fonts.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
UglyToad.PdfPig.Package.dll,publish/win-x64/UglyToad.PdfPig.Package.dll,{app}/UglyToad.PdfPig.Package.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
UglyToad.PdfPig.Rendering.Skia.dll,publish/win-x64/UglyToad.PdfPig.Rendering.Skia.dll,{app}/UglyToad.PdfPig.Rendering.Skia.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
UglyToad.PdfPig.Tokenization.dll,publish/win-x64/UglyToad.PdfPig.Tokenization.dll,{app}/UglyToad.PdfPig.Tokenization.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
UglyToad.PdfPig.Tokens.dll,publish/win-x64/UglyToad.PdfPig.Tokens.dll,{app}/UglyToad.PdfPig.Tokens.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
UglyToad.PdfPig.dll,publish/win-x64/UglyToad.PdfPig.dll,{app}/UglyToad.PdfPig.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
WindowsBase.dll,publish/win-x64/WindowsBase.dll,{app}/WindowsBase.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
clretwrc.dll,publish/win-x64/clretwrc.dll,{app}/clretwrc.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
clrgc.dll,publish/win-x64/clrgc.dll,{app}/clrgc.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
clrgcexp.dll,publish/win-x64/clrgcexp.dll,{app}/clrgcexp.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
clrjit.dll,publish/win-x64/clrjit.dll,{app}/clrjit.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
coreclr.dll,publish/win-x64/coreclr.dll,{app}/coreclr.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
createdump.exe,publish/win-x64/createdump.exe,{app}/createdump.exe,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Arquivo de runtime
e_sqlite3.dll,publish/win-x64/e_sqlite3.dll,{app}/e_sqlite3.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
hostfxr.dll,publish/win-x64/hostfxr.dll,{app}/hostfxr.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
hostpolicy.dll,publish/win-x64/hostpolicy.dll,{app}/hostpolicy.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
libHarfBuzzSharp.dll,publish/win-x64/libHarfBuzzSharp.dll,{app}/libHarfBuzzSharp.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
libSkiaSharp.dll,publish/win-x64/libSkiaSharp.dll,{app}/libSkiaSharp.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
mscordaccore.dll,publish/win-x64/mscordaccore.dll,{app}/mscordaccore.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
mscordaccore_amd64_amd64_10.0.1026.32716.dll,publish/win-x64/mscordaccore_amd64_amd64_10.0.1026.32716.dll,{app}/mscordaccore_amd64_amd64_10.0.1026.32716.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
mscordbi.dll,publish/win-x64/mscordbi.dll,{app}/mscordbi.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
mscorlib.dll,publish/win-x64/mscorlib.dll,{app}/mscorlib.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
mscorrc.dll,publish/win-x64/mscorrc.dll,{app}/mscorrc.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
msquic.dll,publish/win-x64/msquic.dll,{app}/msquic.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
netstandard.dll,publish/win-x64/netstandard.dll,{app}/netstandard.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
vcruntime140_cor3.dll,publish/win-x64/vcruntime140_cor3.dll,{app}/vcruntime140_cor3.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
wpfgfx_cor3.dll,publish/win-x64/wpfgfx_cor3.dll,{app}/wpfgfx_cor3.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
cs\PresentationCore.resources.dll,publish/win-x64/cs/PresentationCore.resources.dll,{app}/cs/PresentationCore.resources.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
cs\PresentationFramework.resources.dll,publish/win-x64/cs/PresentationFramework.resources.dll,{app}/cs/PresentationFramework.resources.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
cs\PresentationUI.resources.dll,publish/win-x64/cs/PresentationUI.resources.dll,{app}/cs/PresentationUI.resources.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
cs\ReachFramework.resources.dll,publish/win-x64/cs/ReachFramework.resources.dll,{app}/cs/ReachFramework.resources.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
cs\System.Windows.Controls.Ribbon.resources.dll,publish/win-x64/cs/System.Windows.Controls.Ribbon.resources.dll,{app}/cs/System.Windows.Controls.Ribbon.resources.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
